OUTCOME,NAME,TEAM_CITY,HOME,DATE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,MIN,OREB,PF,PTS,REB,START_POSITION,STL,TO
1,Kyle Singler,Oklahoma City,1,11_18_16,0,0,1,2,0,0,2,0,0,0,0,0,13,0,2,0,1,N/A,0,1
1,Nick Collison,Oklahoma City,1,11_18_16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,
0,Wilson Chandler,Denver,0,12_13_14,2,0,8,5,1,20,13,4,31,0,0,0,31,1,3,9,9,F,0,2
0,JJ Hickson,Denver,0,12_13_14,2,2,8,0,0,0,7,5,71,8,4,50,22,2,4,14,10,F,0,2
0,Timofey Mozgov,Denver,0,12_13_14,1,0,1,0,0,0,1,0,0,0,0,0,14,3,5,0,4,C,0,1
0,Arron Afflalo,Denver,0,12_13_14,2,0,4,7,1,14,17,4,24,3,3,100,37,0,2,12,4,G,3,3
0,Ty Lawson,Denver,0,12_13_14,12,0,4,3,1,33,13,7,54,5,4,80,39,0,0,19,4,G,0,2
0,Jusuf Nurkic,Denver,0,12_13_14,1,3,3,0,0,0,9,3,33,6,3,50,18,2,6,9,5,N/A,2,0
0,Kenneth Faried,Denver,0,12_13_14,2,1,2,0,0,0,7,3,43,2,1,50,20,1,3,7,3,N/A,0,0
0,Darrell Arthur,Denver,0,12_13_14,1,0,3,9,4,44,14,7,50,2,2,100,24,3,1,20,6,N/A,1,1
0,Erick Green,Denver,0,12_13_14,1,0,1,1,0,0,7,2,29,0,0,0,10,0,0,4,1,N/A,0,2
0,Gary Harris,Denver,0,12_13_14,0,0,1,1,0,0,4,0,0,0,0,0,13,1,1,0,2,N/A,0,1
0,Alonzo Gee,Denver,0,12_13_14,0,1,1,2,0,0,4,1,25,0,0,0,10,2,1,2,3,N/A,1,1
0,Danilo Gallinari,Denver,0,12_13_14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Nate Robinson,Denver,0,12_13_14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Trevor Ariza,Houston,1,12_13_14,2,0,5,11,3,27,14,4,29,4,2,50,42,3,3,13,8,F,2,0
0,Donatas Motiejunas,Houston,1,12_13_14,1,0,3,4,2,50,19,11,58,2,1,50,32,2,3,25,5,F,1,1
0,Dwight Howard,Houston,1,12_13_14,2,3,10,0,0,0,11,9,82,17,8,47,30,3,3,26,13,C,1,2
0,James Harden,Houston,1,12_13_14,10,2,10,5,2,40,20,7,35,9,8,89,38,0,3,24,10,G,1,3
0,Patrick Beverley,Houston,1,12_13_14,3,1,2,4,1,25,9,4,44,0,0,0,35,0,5,9,2,G,2,3
0,Tarik Black,Houston,1,12_13_14,0,0,1,0,0,0,1,0,0,2,1,50,7,2,0,1,3,N/A,0,1
0,Joey Dorsey,Houston,1,12_13_14,0,1,5,0,0,0,0,0,0,0,0,0,15,3,2,0,8,N/A,0,1
0,Jason Terry,Houston,1,12_13_14,0,0,1,8,2,25,9,3,33,0,0,0,25,0,1,8,1,N/A,1,3
0,Nick Johnson,Houston,1,12_13_14,2,0,1,2,0,0,5,1,20,0,0,0,14,0,1,2,1,N/A,0,0
0,Troy Daniels,Houston,1,12_13_14,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,N/A,0,0
0,Isaiah Canaan,Houston,1,12_13_14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,Clint Capela,Houston,1,12_13_14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,
0,Gordon Hayward,Utah,1,04_13_16,3,0,1,6,2,33,16,6,38,5,3,60,32,1,2,17,2,F,0,2
